pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_mismatch,Data_source_2_mismatch
196,10322,24,11070,104788679,data_1,4.0,2.0
196,10322,24,11137,101052652,data_1,12.0,11.0
196,10322,24,11137,103888133,data_1,18.0,11.0
196,10322,24,11137,111668444,data_1,20.0,23.0
196,10322,24,11789,122791256,data_1,6.0,5.0
196,10322,25,11132,104138677,data_1,7.0,6.0
196,10322,26,11069,109355145,data_1,4.0,6.0
196,10322,26,11069,109355153,data_1,3.0,1.0
196,10322,27,12040,116524270,data_1,6.0,5.0
196,10322,30,13731,101826840,data_1,11.0,10.0
196,10322,30,13731,112537589,data_1,2.0,5.0
196,10322,30,13731,112957792,data_1,5.0,8.0
196,10322,30,13731,112957822,data_1,10.0,8.0
196,10322,30,13731,115444028,data_1,8.0,7.0
196,10322,30,13731,121975930,data_1,7.0,6.0
196,10322,30,13731,122643230,data_1,2.0,1.0
196,10322,30,13731,122888632,data_1,2.0,1.0
196,10322,30,13731,122949216,data_1,5.0,8.0
196,10322,30,13731,123069007,data_1,5.0,4.0
196,10322,31,14041,109694012,data_1,14.0,12.0
196,10322,32,13291,104125621,data_1,64.0,71.0
196,10322,32,13291,108602114,data_1,47.0,51.0
196,10322,34,11045,101003507,data_1,97.0,92.0
196,10322,34,11045,120399545,data_1,45.0,41.0
196,10322,34,12222,113002099,data_1,37.0,31.0
196,10322,34,12232,103391328,data_1,7.0,50.0
196,10322,34,12238,103479109,data_1,248.0,247.0
196,10322,34,12238,105102544,data_1,142.0,125.0
196,10322,34,12238,105321912,data_1,121.0,157.0
196,10322,34,12243,120748477,data_1,37.0,32.0
196,10322,34,13952,108017084,data_1,101.0,89.0
196,10322,34,13977,108661706,data_1,45.0,40.0
196,10322,34,14153,113104548,data_1,68.0,64.0
196,10322,34,14153,113104637,data_1,49.0,24.0
196,10322,34,14309,116336814,data_1,68.0,58.0
196,10322,34,14790,122922609,data_1,72.0,60.0
196,10322,34,14976,101236008,data_1,49.0,44.0
196,10322,34,14976,101237808,data_1,60.0,46.0
196,10322,38,11083,102231619,data_1,74.0,72.0
196,10322,38,11090,102122293,data_1,21.0,18.0
196,10322,38,11090,102387726,data_1,46.0,44.0
196,10322,38,11299,102014458,data_1,8.0,19.0
196,10322,38,11299,102216808,data_1,383.0,531.0
196,10322,38,11299,102671157,data_1,81.0,65.0
196,10322,38,11299,116213763,data_1,40.0,20.0
196,10322,38,11299,116377294,data_1,11.0,10.0
196,10322,38,11299,121778493,data_1,48.0,45.0
196,10322,38,11299,122189742,data_1,54.0,53.0
