pk_1,pk_2,pk_3,pk_4,pk_5,level_5,Data_source1_match,Data_source_2_match
175,1069,30,13731,122756981,data_2,214.41,214.41
175,1069,30,13731,122887768,data_1,6.0,6.0
175,1069,30,13731,122887768,data_2,66.76,66.76
175,1069,30,13731,122887776,data_1,12.0,12.0
175,1069,30,13731,122887776,data_2,124.76,124.76
175,1069,30,13731,122888624,data_1,13.0,13.0
175,1069,30,13731,122888624,data_2,137.47,137.47
175,1069,30,13731,122888632,data_1,10.0,10.0
175,1069,30,13731,122888632,data_2,105.72,105.72
175,1069,30,13731,122980129,data_1,7.0,7.0
175,1069,30,13731,122980129,data_2,115.78,115.78
175,1069,30,13731,122996133,data_1,125.0,125.0
175,1069,30,13731,122996133,data_2,1394.78,1394.78
175,1069,30,13731,122996230,data_1,25.0,25.0
175,1069,30,13731,122996230,data_2,277.6,277.6
175,1069,30,13731,123068876,data_1,26.0,26.0
175,1069,30,13731,123068876,data_2,289.77,289.77
175,1069,30,13731,123069007,data_1,41.0,41.0
175,1069,30,13731,123069007,data_2,455.65,455.65
175,1069,31,14041,109694012,data_1,15.0,15.0
175,1069,31,14041,109694012,data_2,1627.74,1627.74
175,1069,32,11688,109589308,data_1,3.0,3.0
175,1069,32,11688,109589308,data_2,42.55,42.55
175,1069,32,11688,109589545,data_1,14.0,14.0
175,1069,32,11688,109589545,data_2,198.31,198.31
175,1069,32,11688,109589960,data_1,10.0,10.0
175,1069,32,11688,109589960,data_2,141.46,141.46
175,1069,32,11688,109590241,data_1,5.0,5.0
175,1069,32,11688,109590241,data_2,71.77,71.77
175,1069,32,11688,109590314,data_1,1.0,1.0
175,1069,32,11688,109590314,data_2,14.26,14.26
175,1069,32,11688,109590403,data_1,12.0,12.0
175,1069,32,11688,109590403,data_2,171.18,171.18
175,1069,32,11688,114722377,data_1,9.0,9.0
175,1069,32,11688,114722377,data_2,127.75,127.75
175,1069,32,11688,119282588,data_1,8.0,8.0
175,1069,32,11688,119282588,data_2,186.67,186.67
175,1069,32,11688,119282634,data_1,5.0,5.0
175,1069,32,11688,119282634,data_2,116.67,116.67
175,1069,32,11688,119282642,data_1,19.0,19.0
175,1069,32,11688,119282642,data_2,439.94,439.94
175,1069,32,11688,120697473,data_1,6.0,6.0
175,1069,32,11688,120697473,data_2,225.07,225.07
175,1069,32,11688,122635742,data_1,16.0,16.0
175,1069,32,11688,122635742,data_2,456.39,456.39
